날짜,단어,의미
day16,scream,"[동] 비명 지르다, 소리치다, 절규하다[명] 비명, 절규"
day16,sensitive,"[형] 민감한, 예민한, 세심한"
day16,swallow,"[동] 삼키다[명] 삼킴, 제비"
day16,glare,"[동] 노려보다, 빛나다[명] 노려봄, 눈부신 빛"
day16,tragic,"[형] 비극의, 비참한"
day16,deprive,[동] 박탈하다
day16,conscious,"[형] 의식하고 있는, 의도적인"
day16,interfere,"[동] 간섭하다, 방해하다"
day16,temporary,"[형] 임시의, 일시적인"
day16,council,"[명] 의회, 협의회"
day16,adolescent,[명] 청소년[형] 청소년기의
day16,associate,"[동] 연관짓다, 교제하다[명] 동료"
day16,arctic,[형] 북극의
day16,capture,"[동] 붇잡다, 포획하다[명] 포획"
day16,dilute,[동] 희석시키다[명] 묽은
day16,figure,"[명] 수치, 계산, 형체[동] 생각하다, 계산하다"
day16,dim,"[형] 흐릿한, 어두운[동] 흐려지다"
day16,warehouse,[명] 창고
day16,crew,[명] 승무원
day16,barrier,"[명] 장벽, 장애물"
day16,tradition,"[명] 전통, 관습"
day16,pedestrian,[명] 보행자[형] 보행자의
day16,glance,[동] 흘긋 보다[명] 흘긋 봄
day16,irritate,"[동] 짜증나게 하다, 화나게 하다"
day16,cruel,"[형] 잔인한, 고통을 주는"
day16,fold,"[동] 접다, 포개다[명] 주름, 우리"
day16,trial,"[명] 재판, 실험, 시도"
day16,tribe,"[명] 부족, 종족"
day16,profound,"[형] 깊은, 심오한"
day16,distinguish,"[동] 구별하다, 식별하다"
day16,errand,"[명] 심부름, 잡일"
day16,welfare,[명] 복지
day16,statement,"[명] 진술, 성명서"
day16,prevail,"[동] 만연하다, 우세하다"
day17,widespread,[형] 널리 퍼진
day17,result,[명] 결과[동] 생기다
day17,fade,"[동] 사라지다, 희미해지다"
day17,progress,"[명] 진전, 진보[동] 진보하다, 전진하다"
day17,weapon,"[명] 무기, 병기"
day17,drastic,"[형] 격렬한, 과감한"
day17,reinforcement,"[명] 보강, 강화"
day17,wonder,"[동] 궁금해하다, 놀라다[명] 경탄, 경이"
day17,pile,"[명] 쌓아 올린 더미, 많은 양[동] 쌓아 올리다, 축적하다"
day17,protect,[동] 보호하다
day17,infection,"[명] 감염, 전염"
day17,stiffen,[동] 굳어지다
day17,endanger,[동] 위험에 빠뜨리다
day17,adjust,"[동] 조절하다, 조정하다"
day17,peer,"[명] 또래, 동료"
day17,renew,"[동] 새롭게 하다, 갱신하다"
day17,germ,"[명] 세균, 미생물"
day17,atom,[명] 원자
day17,noble,"[형] 고결한, 귀족의"
day17,repair,"[동] 수리하다, 회복하다[명] 수리, 회복"
day17,candidate,[명] 후보자
day17,ideal,[형] 이상적인[명] 이상
day17,crop,"[명] 작물, 수확"
day17,ethnic,"[형] 민족의, 인종의"
day17,foretell,"[동] 예언하다, 예고하다"
day17,wholesale,[형] 도매의[명] 도매
day17,debt,"[명] 부채, 빚"
day17,representative,"[명] 대표, 국회의원[동] 대표하는"
day17,shift,"[동] 바꾸다, 이동하다[명] 변화, 이동, 교대"
day17,excess,"[명] 초과, 초과량, 과도함[형] 초과한, 여분의"
day17,strict,"[형] 엄한, 엄격한"
day17,appliance,"[명] 기구, 장치"
day17,furthermore,"[부] 더욱이, 게다가"
day17,command,"[동] 명령하다, 지휘하다[동] 명령, 지배력"
day17,ecosystem,[명] 생태계
day17,fame,[명] 명성
day17,oral,"[형] 구두의, 구술의"
day17,drift,[명] 표류[동] 표류하다
day17,enrich,"[동] 풍성하게 하다, 부유하게 하다"
day17,realize,"[동] 깨닫다, 실현하다"
day18,avoid,[동] 피하다
day18,outstanding,"[형] 뛰어난, 두드러진, 미해결의"
day18,mislead,"[동] 잘못 인도하다, 오해하게 하다"
day18,dedicate,"[동] 헌납하다, 바치다"
day18,initial,"[형] 초기의, 처음의[명] 머리글자"
day18,sink,[동] 가라앉다
day18,entire,"[형] 전체의, 완전한[명] 전부, 전체"
day18,confront,[동] 직면하다
day18,beard,[명] 턱수염
day18,haste,"[명] 서두름, 급함"
day18,crush,"[동] 으깨다, 밀어 넣다"
day18,destiny,[명] 운명
day18,hardship,"[명] 고난, 어려움"
day18,escape,"[동] 탈출하다, 벗어나다[명] 탈출, 도망"
day18,valid,"[형] 타당한, 유효한"
day18,dispose,"[동] 배치하다, 처리하다, 경향을 갖게 하다"
day18,exist,"[동] 존재하다, 살아가다"
day18,optimal,"[형] 최적의, 최상의"
day18,hydrogen,[명] 수소
day18,perspective,"[명] 견해, 관점, 원근법, 전망"
day18,thread,[명] 실[동] 실을 꿰다
day18,dynasty,"[명] 왕조, 왕가"
day18,scatter,"[동] 흩뿌리다, 분산시키다"
day18,gamble,"[동] 도박하다, 모험하다[명] 도박, 모험"
day18,temper,"[명] 성질, 기분[동] 완화시키다"
day18,undoubtedly,"[부] 의심할 여지없이, 확실히"
day18,raft,"[명] 뗏목, 고무보트"
day18,minimal,"[형] 최소의, 아주 적은"
day18,soak,"[동] 적시다, 젖다, 흡수하다"
day18,craft,"[명] 수공예, 기술, 선박, 비행기"
day18,cease,"[동] 중지하다, 그만두다"
day18,review,"[동] 재검토하다[명] 재검토, 논평"
day18,ceiling,"[명] 천장, 상한선"
day18,unify,"[동] 통합하다, 통일하다"
day18,combat,[명] 전투[동] 싸우다
day18,bump,"[동] 부딪치다[명] 충돌, 혹"
day18,primary,"[형] 주요한, 초기의"
day18,genre,"[명] 형식, 장르, 유형"
day18,erase,"[동] 지우다, 없애다"
day18,doom,"[명] 운명, 비운, 파멸[동] ~할 운명이다"
day19,vital,"[형] 필수적인, 중요한, 생명 유지와 관련된"
day19,incident,"[명] 사건, 일어난 일[형] 일어나기 쉬운"
day19,session,"[명] 시간, 회의, 기간, 학기"
day19,obvious,"[형] 분명한, 명백한"
day19,moderate,"[형] 온건한, 적당한"
day19,budget,"[명] 예산, 예산안"
day19,graze,"[동] 풀을 뜯다, 방목하다"
day19,fragile,[형] 부서지기 쉬운
day19,myth,"[명] 신화, 사회적 통념"
day19,fur,"[명] 부드러운 털, 모피"
day19,indifferent,[형] 무관심한
day19,strain,"[명] 긴장, 압박[동] 잡아당기다, 긴장시키다, 혹사하다"
day19,ingredient,"[명] 재료, 성분"
day19,dismiss,"[동] 묵살하다, 해고하다, 해산시키다"
day19,geometry,[명] 기하학
day19,glacier,[명] 빙하
day19,urge,"[동] 촉구하다, 강요하다"
day19,celebrity,"[명] 유명 인사, 명성"
day19,antique,"[형] 고대의, 옛날의, 고풍의[명] 골동품"
day19,profit,"[명] 이익, 이윤[동] 이익을 얻다"
day19,sphere,"[명] 구, 구체"
day19,inherit,"[동] 상속받다, 물려받다"
day19,disgrace,"[명] 불명예, 수치"
day19,crawl,"[동] 기어가다, 서행하다[명] 기어가기, 서행"
day19,scratch,"[동] 긁다, 할퀴다[명] 긁힌 자국, 찰과상"
day19,diabetes,[명] 당뇨병
day19,congestion,"[명] 혼잡, 밀집"
day19,constitute,"[동] 구성하다, 설립하다, 제정하다"
day19,flow,[명] 흐름[동] 흐르다
day19,investigate,"[동] 조사하다, 수사하다"
day19,barter,"[명] 물물 교환, 교역품[동] 물물 교환하다"
day19,circular,"[형] 원의, 순환의"
day19,chilly,"[형] 쌀쌀한, 냉담한"
day19,ancestor,"[명] 조상, 선조"
day19,fierce,"[형] 사나운, 맹렬한"
day19,vague,"[형] 희미한, 막연한, 모호한"
day19,rough,"[형] 거친, 난폭한, 대강의"
day19,content,"[명] 내용, 목차[형] 만족하는"
day19,obstacle,"[명] 장애물, 방해가 되는 것"
day19,editorial,"[형] 편집자의[명] 사설, 논설"
day20,abolish,[동] 폐지하다
day20,assure,"[동] 확실하게 하다, 보증하다"
day20,form,"[명] 형태, 종류[동] 형성하다"
day20,gender,"[명] 성, 성별"
day20,innovation,[명] 혁신
day20,opponent,"[명] 상대, 반대자[형] 반대하는"
day20,present,"[형] 현재의[동] 제출하다, 나타내다[명] 현재, 선물"
day20,fertile,"[형] 비옥한, 기름진"
day20,emperor,[명] 황제
day20,dwell,"[동] 거주하다, 살다"
day20,chore,"[명] 허드렛일, 집안일"
day20,rehearsal,"[명] 리허설, 예행연습"
day20,fossil,[명] 화석
day20,glitter,[동] 반짝이다[명] 반짝임
day20,carve,"[동] 새기다, 조각하다"
day20,decay,"[동] 부패하다, 쇠퇴하다[명] 부패, 쇠퇴"
day20,protein,[명] 단백질
day20,backward,"[부] 뒤쪽으로, 후방에, 거꾸로"
day20,translate,"[동] 번역하다, 옮기다"
day20,refresh,"[동] 상쾌하게 하다, 새롭게 하다"
day20,tissue,[명] (생물) 조직
day20,lord,[명] 군주
day20,substitute,"[동] 대체하다[명] 대리자, 대체물"
day20,scan,"[동] 정밀 검사하다, 유심히 쳐다보다"
day20,pottery,"[명] 도자기, 도예"
day20,layer,"[명] 층, 겹"
day20,property,"[명] 재산, 소유물, 부동산"
day20,justify,[동] 정당화하다
day20,polish,"[동] 닦다, 윤을 내다, 다듬다"
day20,flavor,[명] 맛[동] 맛을 내다
day20,imprint,"[동] 찍다, 감명시키다[명] 찍은 자국, 인상"
day20,heritage,"[명] 유산, 세습 자산"
day20,strive,"[동] 노력하다, 애쓰다, 투쟁하다"
day20,radiant,"[형] 빛나는, 아주 밝은"
day20,exclaim,[동] 외치다
day20,asset,"[명] 자산, 재산"
day20,portray,"[동] 설명하다, 묘사하다, 초상을 그리다"
day20,administer,"[동] 관리하다, 집행하다, 주다"
day20,wage,[명] 급료
day20,subscribez,[동] 정기 구독하다
day21,merit,"[명] 장점, 공로[동] ~을 받을 만하다"
day21,launch,"[동] 발사하다, 시작하다, 출시하다[명] 발사, 개시, 출시"
day21,conference,"[명] 회의, 회담"
day21,accuse,"[동] 고발하다, 비난하다"
day21,enhance,[동] 향상시키다
day21,intimate,[형] 친밀한
day21,reception,"[명] 접수, 환영회"
day21,overwhelm,"[동] 압도하다, 당황하게 하다"
day21,apply,[동] 적용되다
day21,majesty,"[명] 위엄, 장엄, 왕"
day21,shrug,[동] 어깨를 으쓱하다
day21,vicious,"[형] 사악한, 악의 있는"
day21,cherish,[동] 소중히 하다
day21,eternal,[형] 영원한
day21,shrink,"[동] 축소하다, 수축하다"
day21,colleague,[명] 동료
day21,transmit,[동] 전달하다
day21,discard,"[동] 버리다, 처분하다"
day21,copper,"[명] 구리[형] 구리의, 구릿빛의"
day21,orbit,[명] 궤도[동] 궤도를 그리며 돌다
day21,famine,"[명] 굶주림, 기아"
day21,pill,[명] 알약
day21,immune,"[형] 면역성의, 면제된"
day21,raw,"[형] 날것의, 가공하지 않은"
day21,superior,[형] 우월한[명] 상사
day21,string,"[명] 끈, 줄, 일련"
day21,cope,"[동] 대처하다, 잘 처리하다"
day21,loan,"[동] 대출하다[명] 대출, 대출금"
day21,obedient,"[형] 순종하는, 유순한"
day21,procedure,"[명] 절차, 과정"
day21,bond,"[명] 결속, 속박, 계약, 채권"
day21,angle,"[명] 각도, 모서리"
day21,subtle,"[형] 미묘한, 교묘한"
day21,depict,"[동] 묘사하다, 그리다"
day21,radical,"[형] 근본적인, 급진적인, 과격한[명] 급진주의자"
day21,caution,"[명] 조심, 주의[동] 주의를 주다"
day21,persist,"[동] 고집하다, 지속하다"
day21,reverse,"[동] 뒤바꾸다[형] 반대의, 역의[명] 역, 반대"
day21,cattle,[명] 소
day21,therapy,"[명] 치료, 요법"
day22,experience,"[명] 경험, 체험[동] 경험하다"
day22,strategy,[명] 전략
day22,attract,[동] 끌다
day22,hence,"[부] 그러므로, 지금부터"
day22,architecture,"[명] 건축, 건축물"
day22,territory,"[명] 영토, 영역"
day22,wilderness,"[명] 황무지, 황야"
day22,category,[명] 범주
day22,funeral,[명] 장례식[형] 장례의
day22,prefer,[동] 선호하다
day22,outcome,[명] 결과
day22,humiliation,"[명] 창피함, 굴욕"
day22,ban,[동] 금지하다[명] 금지
day22,flush,"[동] 물이 쏟아져 나오다, 붉어지다"
day22,omit,"[동] 생략하다, 빼다"
day22,despair,[명] 절망[동] 절망하다
day22,alert,"[형] 기민한, 경계하는[동] 경고하다[명] 경계"
day22,compact,"[형] 소형의, 조말한[동] 꽉 채우다"
day22,likewise,"[부] 마찬가지로, 게다가"
day22,astonish,[동] 놀라게 하다
day22,panic,"[형] 공황적인[명] 공황, 갑작스런 공포"
day22,optimistic,"[형] 낙천적인, 낙관적인"
day22,murder,[동] 살인하다[명] 살인
day22,fundamental,"[형] 근본적인, 기본적인[형] 근본"
day22,loyal,"[형] 충성스러운, 성실한"
day22,humid,"[형] 습기 있는, 눅눅한"
day22,pretend,"[동] ~인 척하다, 주장하다"
day22,graduate,"[동] 졸업하다[명] 졸업생, 대학원 학생"
day22,delicate,[형] 섬세한
day22,inflate,"[동] 부풀리다, 과장하다, 인상하다"
day22,adequate,[형] 적당한
day22,physician,"[명] 의사, 내과 의사"
day22,joint,"[명] 관절, 이음매[형] 공동의, 연합의"
day22,via,"[전] ~을 거쳐서, ~에 의하여"
day22,passage,"[명] 통로, 통과, 한 절"
day22,vessel,"[명] 선박, 용기, 배, 혈관"
day22,restore,"[동] 회복하다, 복구하다, 돌려주다"
day22,passive,"[형] 수동형의, 수동적인"
day22,marble,"[명] 대리석, 구슬[형] 대리석의"
day22,classify,[동] 분류하다
day23,prepare,[동] 준비하다
day23,transaction,"[명] 거래, 처리"
day23,sufficient,[형] 충분한
day23,stable,[형] 안정된[명] 마구간
day23,concern,"[명] 걱정, 관심사[동] 걱정하게 하다, 관련되다"
day23,sympathy,"[명] 동정, 공감"
day23,principal,"[형] 주요한, 제 1의, 주역"
day23,by-product,[명] 부산물
day23,anxiety,"[명] 걱정, 불안, 열망"
day23,federal,"[형] 연방의, 연합의"
day23,suffer,"[동] 고통 받다, 겪다"
day23,trivial,[형] 사소한
day23,tablet,"[명] 알약, 정제, 판"
day23,trade,[동] 교환하다[명] 무역
day23,liquid,[명] 액체[형] 액체의
day23,contend,"[동] 싸우다, 주장하다, 경쟁하다"
day23,anticipate,"[동] 예상하다, 기대하다"
day23,outlook,"[명] 전망, 조망"
day23,desert,"[명] 사막[형] 사막의, 불모의[동] 버리다, 도주하다"
day23,infinite,[형] 무한한
day23,roam,"[동] 배회하다, 돌아다니다"
day23,decent,"[형] 제대로 된, 품위 있는"
day23,behalf,"[명] 자기편, 이익"
day23,distortion,"[명] 왜곡, 찌그러뜨림"
day23,bud,[명] 싹[동] 싹트다
day23,symbolic,[형] 상징적인
day23,municipal,"[형] 지방의, 시의"
day23,phenomenon,"[명] 현상, 사건, 비범한 인물"
day23,devote,[동] 바치다
day23,peasant,"[명] 소작농, 농민"
day23,diminish,[동] 감소하다
day23,jealous,[형] 질투하는
day23,exclude,"[동] 제외하다, 배제하다"
day23,flexible,"[형] 융통성 있는, 유연한"
day23,tenant,"[명] 세입자, 주민"
day23,worthwhile,[형] ~할 가치있는
day23,pavement,"[명] 포장도로, 보도"
day23,nominate,"[동] 지명하다, 임명하다"
day23,sacred,"[형] 성스러운, 신성한"
day23,edible,"[형] 먹을 수 있는, 식용의"
day24,support,"[동] 지지하다, 부양하다, 받치다[명] 지지, 지탱함, 부양"
day24,revise,[동] 개정하다
day24,suggest,"[동] 제안하다, 암시하다"
day24,control,"[동] 제어하다, 지배하다[명] 제어, 지배"
day24,mammal,[명] 포유동물
day24,internal,[형] 내부의
day24,resent,"[동] 분개하다, 화를 내다"
day24,abrupt,[형] 갑작스러운
day24,diverse,"[형] 다양한, 다른"
day24,refine,"[동] 개선하다, 정제하다"
day24,dynamic,"[형] 동적인, 역학의"
day24,nerve,[명] 신경
day24,prompt,"[형] 신속한, 즉각적인[동] 촉구하다, 자극하다"
day24,suspend,"[동] 중지하다, 매달다"
day24,industry,"[명] 산업, 공업"
day24,iceberg,[명] 빙산
day24,monetary,[형] 화폐의
day24,superb,"[형] 최고의, 훌륭한"
day24,gloom,"[명] 우울, 어둠"
day24,distraction,"[명] 주의 산만, 기분 전환, 산만하게 하는 것"
day24,collapse,"[동] 무너지다, 붕괴하다[명] 붕괴"
day24,trigger,"[동] 유발하다, 촉발하다[명] 방아쇠, 계기"
day24,martial,"[형] 군대의, 전쟁의"
day24,monologue,[명] 독백
day24,deliberate,"[형] 의도적인, 신중한[동] 숙고하다"
day24,plot,"[명] 줄거리, 음모[동] 음모를 꾸미다"
day24,rod,"[명] 막대기, 회초리"
day24,partial,[형] 부분적인
day24,mutual,"[형] 서로의, 공통의"
day24,priceless,[형] 대단히 귀중한
day24,fate,[명] 운명
day24,pursue,"[동] 추구하다, 쫓다"
day24,atlantic,[명] 대서양[형] 대서양의
day24,weird,"[형] 이상한, 기묘한"
day24,booth,"[명] 칸막이한 공간, 부스, 노점"
day24,prescribe,"[동] 처방하다, 규정하다"
day24,erupt,"[동] 분출하다, 폭발하다"
day24,insult,[동] 모욕하다[명] 모욕
day24,gaze,"[동] 뚫어지게 보다, 응시하다"
day24,supreme,[형] 최고의
day25,context,"[명] 맥락, 문맥, 전후 관계"
day25,complete,"[형] 완벽한, 완전한, 완료된[동] 완료하다"
day25,race,"[명] 경주, 인종, 경쟁[동] 경주하다, 질주하다"
day25,dominate,[동] 지배하다
day25,vehicle,"[명] 탈것, 운송수단"
day25,complain,"[동] 불평하다, 항의하다"
day25,brochure,"[명] 소책자, 브로셔"
day25,force,"[명] 힘, 영향력[동] 강요하다"
day25,nest,"[명] 둥지, 보금자리[동] 둥지를 틀다, 살다"
day25,gain,[동] 얻다[명] 이익
day25,curriculum,"[명] 교육과정, 커리큘럼"
day25,sew,[동] 바느질하다. 꿰매다
day25,masculine,"[형] 남자의, 남자다운"
day25,frown,[동] 눈살을 찌푸리다[명] 찡그린 얼굴
day25,astound,[동] 놀라게 하다
day25,dictator,"[명] 독재자, 구술하는 사람"
day25,assessment,"[명] 평가, 판단"
day25,crucial,"[형] 중대한, 결정적인"
day25,paralysis,[명] 마비
day25,deck,[명] 갑판
day25,cheer,"[명] 환호, 갈채[동] 환호하다"
day25,miserable,"[형] 비참한, 불쌍한"
day25,tease,"[동] 약올리나, 괴롭히다"
day25,aggressive,"[형] 공격적인, 적극적인"
day25,cure,"[동] 치료하다, 해결하다[명] 치유, 회복"
day25,attribute,[동] ~의 결과로 여기다[명] 속성
day25,foster,"[동] 육성하다, 촉진시키다[현] 수양의, 위탁의"
day25,psychologist,[명] 심리학자
day25,postpone,"[동] 연기하다, 뒤로 미루다"
day25,rob,"[동] 강탈하다, 훔치다"
day25,abuse,"[동] 남용하다, 학대하다[명] 남용, 학대, 욕설"
day25,unemployed,"[형] 실직한, 실업의"
day25,breakdown,"[명] 고장, 쇠약"
day25,disguise,"[동] 변장하다, 숨기다[명] 변장, 은폐"
day25,blueprint,[명] 청사진
day25,rear,"[형] 뒤의, 후방의[명] 뒤[동] 기르다"
day25,output,"[명] 생산, 산출"
day25,sermon,[명] 설교
day25,sprout,"[동] 싹이 트다, 자라나다[명] 싹"
day25,tin,"[명] 주석, 양철"
day26,reform,[동] 개혁하다[명] 개혁
day26,deal,"[동] 다루다, 대처하다[명] 거래"
day26,recruit,"[동] 모집하다, 징집하다[명] 신병, 신입사원"
day26,maintain,"[동] 유지하다, 지지하다"
day26,workshop,"[명] 작업장, 워크숍, 연구 집회"
day26,patient,[명] 환자[형] 인내심 있는
day26,convention,"[명] 총회, 관습, 집회"
day26,devastate,[동] 황폐시키다
day26,reap,[동] 수확하다
day26,overlook,"[동] 간과하다, 내려다보다, 너그럽게 봐주다"
day26,deliver,"[동] 배달하다, 전달하다"
day26,reject,"[동] 거부하다, 거절하다"
day26,nourish,"[동] 영양분을 주다, 기르다"
day26,bay,[명] 만
day26,stun,"[동] 놀라게 하다, 기절시키다"
day26,particular,"[형] 특정한, 개개의[명] 상세, 사항"
day26,bulletin,"[명] 게시, 게시물"
day26,fluid,"[형] 유동성의, 유동적인[명] 유동체"
day26,affair,"[명] 일, 사건"
day26,dawn,"[명] 새벽[동] 이해되기 시작하다, 날이 새다"
day26,hostile,[형] 적대적인
day26,characteristic,"[명] 특징, 특성[형] 독특한, 특징적인"
day26,respect,"[동] 존경하다[명] 존경, 관련"
day26,await,[동] 기다리다
day26,concrete,[형] 구체적인[명] 콘트리트
day26,lease,[동] 임대하다[명] 임대
day26,racial,[형] 인종의
day26,variable,"[형] 변하기 쉬운, 변덕스러운[명] 변수"
day26,satisfy,"[동] 만족시키다, 충족시키다"
day26,rule,"[명] 규칙, 지배[동] 지배하다, 통치하다"
day26,perseverance,[명] 인내심
day26,fatal,[형] 치명적인
day26,remove,[동] 제거하다
day26,invert,[동] 거꾸로 하다
day26,tension,"[명] 긴장, 불안[동] 긴장시키다"
day26,reign,[명] 통치[동] 통치하다
day26,crack,[명] 금 가다[명] 갈라진 틈
day26,startle,[동] 깜짝 놀라게 하다
day26,discourage,"[동] 낙담시키다, 단념시키다"
day26,compensate,[동] 보상하다
day27,convert,"[동] 전환하다, 바꾸다"
day27,strike,"[동] 치다, 떠오르다"
day27,suppress,"[동] 억압하다, 참다"
day27,core,[명] 핵심[형] 핵심의
day27,contribute,[동] 공헌하다
day27,spear,[명] 창
day27,renowned,"[형] 명성 있는, 유명한"
day27,era,"[명] 시대,"
day27,withdraw,"[동] 철수시키다, 철수하다, 인출하다"
day27,immigrate,[동] 이주하다
day27,dignity,[명] 존엄
day27,notify,"[동] 통지하다, 알리다"
day27,animate,"[동] 생기있게 하다, 고무하다[형] 살아 있는"
day27,prevent,"[동] 예방하다, 막다"
day27,bilingual,[형] 2개 국어의
day27,mischief,"[명] 장난, 해악"
day27,discriminate,"[동] 차별하다, 구별하다"
day27,exemplify,"[동] 예시하다, ~의 좋은 예가 되다"
day27,adhere,"[동] 충실하다, 고수하다, 집착하다"
day27,judge,[명] 재판관[동] 판단하다
day27,peculiar,[형] 독특한
day27,sake,"[명] 위함, 목적"
day27,choke,"[동] 질식시키다, 숨이 막히다"
day27,folktale,"[명] 민간 설화, 전설"
day27,simultaneously,[부] 동시에
day27,range,[명] 범위[동] 정렬시키다
day27,groom,[명] 신랑
day27,supernatural,[형] 초자연적인
day27,tender,[형] 부드러운[동] 입찰하다[명] 입찰
day27,instinct,[명] 본능
day27,gigantic,[형] 거대한
day27,meditate,[동] 명상하다
day27,mow,[동] (풀을) 베다
day27,evolve,"[동] 진화하다, 발전하다"
day27,chase,"[동] 추적하다, 쫓다"
day27,afflict,[동] 괴롭히다
day27,literate,[형] 읽고 쓸 수 있는
day27,coherent,"[형] 통일성 있는, 조리 있는"
day27,intolerable,[형] 참을 수 없는
day27,fountain,"[명] 분수, 근원"
day28,bold,"[형] 선이 굵은, 대담한"
day28,compliment,[동] 칭찬하다[명] 칭찬
day28,summit,"[명] 정상, 꼭대기"
day28,troop,"[명] 무리, 군대, 떼, 군사"
day28,alter,"[동] 바꾸다, 변경하다"
day28,conceive,"[동] 생각해 내다, ~을 마음에 그리다"
day28,durability,[명] 내구성
day28,destroy,[동] 파괴하다
day28,shallow,"[형] 얕은, 얇은, 피상적인, 천박한"
day28,face,"[명] 얼굴, 표면[동] 직면하다"
day28,promote,"[동] 증진하다, 승진시키다"
day28,weep,[동] 울다
day28,grasp,"[동] 붙잡다, 이해하다, 파악하다[명] 꽉 쥐기, 이해"
day28,overall,"[형] 전반적인, 전체의[명] 작업복"
day28,superstition,[명] 미신
day28,colony,"[명] 식민지, 공동체, 군생"
day28,absurd,"[형] 불합리한, 우스꽝스러운"
day28,dormitory,[명] 기숙사
day28,conduct,"[동] 수행하다, 실시하다[명] 행위, 안내"
day28,prone,[형] ~하는 경향이 있는
day28,conceal,[동] 숨기다
day28,retreat,"[동] 후퇴하다, 물러서다[명] 퇴각, 후퇴"
day28,compulsive,"[형] 강제적인, 강박의"
day28,clinic,"[명] 전문 병원, 개인 병원"
day28,banner,"[명] 현수막, 깃발"
day28,formulate,"[동] 만들어 내다, 공식화하다"
day28,vow,[명] 맹세[동] 맹세하다
day28,malnutrition,[명] 영양실조
day28,relate,"[동] 관련시키다, 관련이 있다"
day28,undergo,[동] 겪다
day28,boast,"[동] 자랑하다, 떠벌리다"
day28,neutral,"[형] 중립의, 공평한"
day28,stain,[명] 얼룩[동] 얼룩지게 하다
day28,incentive,"[명] 장려책, 자극, 동기[형] 격려하는, 자극하는"
day28,float,"[동] 뜨다, 떠다니다[명] 부유물"
day28,applause,[명] 박수갈채
day28,wrestle,"[동] 싸우다, 씨름하다, 레슬링하다"
day28,sensation,"[명] 감각, 느낌, 대사건"
day28,Confucian,"[형] 공자의, 유교의"
day28,tendency,"[명] 경향, 추세"
day29,draft,"[명] 원고, 초안[동] 초안을 그리다"
day29,crude,"[형] 가공하지 않은, 조잡한"
day29,supplement,[동] 보충하다[명] 보충
day29,velocity,[명] 속도
day29,tame,[동] 길들이다[형] 길들여진
day29,molecule,[명] 분자
day29,manage,"[동] ~를 잘 해내다, 다루다"
day29,dismay,"[명] 실망, 걱정[동] 실망시키다, 낙담시키다"
day29,diagnose,[동] 진단하다
day29,adapt,"[동] 적응하다, 적응시키다"
day29,reservoir,"[명] 저장소, 저수지"
day29,conform,"[동] 순응하다, 일치하다"
day29,spacious,"[형] 넓은,훤히 트인"
day29,weave,"[동] 엮다, 짜다"
day29,boundary,"[명] 경계, 경계선"
day29,motive,[명] 동기
day29,prominent,"[형] 현저한, 저명한"
day29,inferior,[형] 열등한
day29,rigid,"[형] 엄격한, 융통성이 없는"
day29,archaeology,[명] 고고학
day29,subtract,[동] 빼다
day29,impulse,"[명] 충동, 추진"
day29,utmost,[형] 최대한의[명] 최대한도
day29,proficient,[형] 숙달된
day29,accumulate,"[동] 모으다, 축적하다"
day29,embody,"[동] 구체화하다, 구현하다"
day29,equity,[명] 공평
day29,violate,"[동] 위반하다, 침해하다"
day29,ambitious,[형] 야심 있는
day29,intact,"[형] 온전한, 손상되지 않은"
day29,borrow,[동] 빌리다
day29,attend,"[동] 참석하다, 보살피다"
day29,trim,"[동] 다듬다, 절라내다, 장식하다"
day29,navigate,"[동] 길을 찾다, 항해하다"
day29,tray,[명] 쟁반
day29,consist,[동] 이루어지다
day29,ceremony,"[명] 의식, 식, 의례"
day29,attack,[동] 공격하다[명] 공격
day29,confine,"[동] 제한하다, 가두다[명] 한계"
day29,dispatch,"[동] 급파하다, 발송하다[명] 급파, 발송"
day30,diameter,"[명] 지름, 직경"
day30,anecdote,"[명] 일화, 비화"
day30,propriety,"[명] 적절성, 예의바름"
day30,blame,"[동] 비난하다, ~을 탓으로 돌리다[명] 비난, 책망"
day30,earn,"[동] 얻다, 벌다"
day30,pledge,"[명] 약속, 맹세[동] 약속하다, 맹세하다"
day30,cost,"[명] 비용, 대가[동] (가격, 비용이) 들다"
day30,geology,[명] 지질학
day30,detect,"[동] 발견하나, 감지하다"
day30,temperate,"[형] 온화한, 절제하는"
day30,soar,[동] 높이 치솟다
day30,mock,[동] 조롱하다[형] 가짜의
day30,disclose,"[동] 폭로하다, 드러내다"
day30,exhibit,"[동] 전시하다, 보여주다[명] 전시, 전시품"
day30,symptom,[명] 증상
day30,invent,[동] 발명하다
day30,awkward,"[형] 어색한, 서투른"
day30,grind,"[동] 갈다, 빻다"
day30,expose,"[동] 드러내다, 노출시키다, 폭로하다"
day30,closet,[명] 벽장
day30,damp,[형] 축축한[명] 습기
day30,script,"[명] 손으로 쓰기, 대본"
day30,possibility,"[명] 가능성, 가망"
day30,discuss,[동] 토론하다
day30,sibling,"[명] 형제자매, 동기"
day30,lay,"[동] 놓다, (알을) 낳다"
day30,flourish,"[동] 번영하다, 번창하다"
day30,discharge,"[동] 배출하다, 내보내다, 해고하다[명] 배출, 내보냄, 방전"
day30,thorough,[형] 철저한
day30,undertake,"[동] 수행하다, 일을 떠맡다, 착수하다"
day30,panel,"[명] 토론자판, 패널, 넓은 직사각형의 합판"
